id,name,team,position,leagues_taken,num_leagues_taken,available,taken_BL
22,Charlie Morton,TB,P,"['wAL600', 'wAL601', 'wAL602', 'wAL603', 'wAL604', 'wAL605', 'wBL600', 'wBL601']",8,False,True
477,Jurickson Profar,Oak,SS,"['wAL600', 'wAL601', 'wAL602', 'wAL603', 'wAL604', 'wAL605', 'wBL600', 'wBL601']",8,False,True
537,Justin Upton,LAA,OF,"['wAL600', 'wAL601', 'wAL602', 'wAL603', 'wAL604', 'wAL605', 'wBL600', 'wBL601']",8,False,True
649,Nelson Cruz,Min,DH,"['wAL600', 'wAL601', 'wAL602', 'wAL603', 'wAL604', 'wAL605', 'wBL600', 'wBL601']",8,False,True
527,Nicholas Castellanos,Det,OF,"['wAL600', 'wAL601', 'wAL602', 'wAL603', 'wAL604', 'wAL605', 'wBL600', 'wBL601']",8,False,True
345,Gary Sanchez,NYA,C,"['wAL600', 'wAL601', 'wAL602', 'wAL603', 'wAL604', 'wAL605', 'wBL600', 'wBL601']",8,False,True
672,Dallas Keuchel,-,P,"['wAL600', 'wAL601', 'wAL602', 'wAL603', 'wAL604', 'wAL605', 'wBL600', 'wBL601']",8,False,True
471,VladimirJr. Guerrero,Tor,3B,"['wAL600', 'wAL601', 'wAL602', 'wAL603', 'wAL604', 'wAL605', 'wBL600', 'wBL601']",8,False,True
541,Eddie Rosario,Min,OF,"['wAL600', 'wAL601', 'wAL602', 'wAL603', 'wAL604', 'wAL605', 'wBL600', 'wBL601']",8,False,True
533,Michael Brantley,Hou,OF,"['wAL600', 'wAL601', 'wAL602', 'wAL603', 'wAL604', 'wAL605', 'wBL600', 'wBL601']",8,False,True
53,Shane Bieber,Cle,P,"['wAL600', 'wAL601', 'wAL602', 'wAL603', 'wAL604', 'wAL605', 'wBL600', 'wBL601']",8,False,True
339,Salvador Perez,KC,C,"['wAL600', 'wAL601', 'wAL602', 'wAL603', 'wAL604', 'wBL600', 'wBL601']",7,False,True
5,Kyle Gibson,Min,P,"['wAL600', 'wAL601', 'wAL602', 'wAL603', 'wAL604', 'wAL605', 'wBL600', 'wBL601']",8,False,True
455,Rafael Devers,Bos,3B,"['wAL600', 'wAL601', 'wAL602', 'wAL603', 'wAL604', 'wAL605', 'wBL600', 'wBL601']",8,False,True
54,Tyler Glasnow,TB,P,"['wAL600', 'wAL601', 'wAL602', 'wAL603', 'wAL604', 'wAL605', 'wBL600', 'wBL601']",8,False,True
386,Carlos Santana,Cle,1B,"['wAL600', 'wAL601', 'wAL602', 'wAL603', 'wAL604', 'wAL605', 'wBL600', 'wBL601']",8,False,True
8,Rick Porcello,Bos,P,"['wAL600', 'wAL601', 'wAL602', 'wAL603', 'wAL604', 'wAL605', 'wBL600', 'wBL601']",8,False,True
623,Eloy Jimenez,ChA,OF,"['wAL600', 'wAL601', 'wAL602', 'wAL603', 'wAL604', 'wAL605', 'wBL600', 'wBL601']",8,False,True
422,Dee Gordon,Sea,2B,"['wAL600', 'wAL601', 'wAL602', 'wAL603', 'wAL604', 'wAL605', 'wBL600', 'wBL601']",8,False,True
55,Nathan Eovaldi,Bos,P,"['wAL600', 'wAL601', 'wAL602', 'wAL603', 'wAL604', 'wAL605', 'wBL600', 'wBL601']",8,False,True
549,Kevin Pillar,Tor,OF,"['wAL600', 'wAL601', 'wAL602', 'wAL603', 'wAL604', 'wAL605', 'wBL600', 'wBL601']",8,False,True
491,Lourdes Gurriel,Tor,SS,"['wAL600', 'wAL601', 'wAL602', 'wAL603', 'wAL604', 'wAL605', 'wBL600', 'wBL601']",8,False,True
236,Blake Treinen,Oak,SR,"['wAL600', 'wAL601', 'wAL602', 'wAL603', 'wAL604', 'wAL605', 'wBL600', 'wBL601']",8,False,True
543,Joey Gallo,Tex,OF,"['wAL600', 'wAL601', 'wAL602', 'wAL603', 'wAL604', 'wAL605', 'wBL600', 'wBL601']",8,False,True
426,Jonathan Villar,Bal,2B,"['wAL600', 'wAL601', 'wAL602', 'wAL603', 'wAL604', 'wAL605', 'wBL600', 'wBL601']",8,False,True
207,Yusei Kikuchi,Sea,P,"['wAL600', 'wAL601', 'wAL602', 'wAL603', 'wAL604', 'wAL605', 'wBL600', 'wBL601']",8,False,True
552,Jackie Bradley,Bos,OF,"['wAL600', 'wAL601', 'wAL602', 'wAL603', 'wAL604', 'wAL605', 'wBL600', 'wBL601']",8,False,True
564,Jay Bruce,Sea,OF,"['wAL600', 'wAL601', 'wAL602', 'wAL603', 'wAL604', 'wAL605', 'wBL600', 'wBL601']",8,False,True
425,Rougned Odor,Tex,2B,"['wAL600', 'wAL601', 'wAL602', 'wAL603', 'wAL604', 'wAL605', 'wBL600', 'wBL601']",8,False,True
550,Mallex Smith,Sea,OF,"['wAL600', 'wAL601', 'wAL602', 'wAL603', 'wAL604', 'wAL605', 'wBL600', 'wBL601']",8,False,True
45,Eduardo Rodriguez,Bos,P,"['wAL600', 'wAL601', 'wAL602', 'wAL603', 'wAL604', 'wAL605', 'wBL600', 'wBL601']",8,False,True
